FileId,WarningFlag,FileName,DirectoryCount,FileCategory
306,1,GIT-HTTP-BACKEND.EXE,6,2
307,1,GIT-HTTP-FETCH.EXE,6,2
308,1,GIT-HTTP-PUSH.EXE,6,2
309,1,GIT-IMAP-SEND.EXE,6,2
310,1,GIT-INDEX-PACK.EXE,6,2
311,1,GIT-INIT.EXE,6,2
312,1,GIT-INIT-DB.EXE,6,2
313,1,GIT-INTERPRET-TRAILERS.EXE,6,2
314,1,GIT-LOG.EXE,6,2
315,1,GIT-LS-FILES.EXE,6,2
316,1,GIT-LS-REMOTE.EXE,6,2
317,1,GIT-LS-TREE.EXE,6,2
318,1,GIT-MAILINFO.EXE,6,2
319,1,GIT-MAILSPLIT.EXE,6,2
320,1,GIT-MAINTENANCE.EXE,6,2
321,1,GIT-MERGE.EXE,6,2
322,1,GIT-MERGE-BASE.EXE,6,2
323,1,GIT-MERGE-FILE.EXE,6,2
324,1,GIT-MERGE-INDEX.EXE,6,2
325,1,GIT-MERGE-OURS.EXE,6,2
326,1,GIT-MERGE-RECURSIVE.EXE,6,2
327,1,GIT-MERGE-SUBTREE.EXE,6,2
328,1,GIT-MERGE-TREE.EXE,6,2
329,1,GIT-MKTAG.EXE,6,2
330,1,GIT-MKTREE.EXE,6,2
331,1,GIT-MULTI-PACK-INDEX.EXE,6,2
332,1,GIT-MV.EXE,6,2
333,1,GIT-NAME-REV.EXE,6,2
334,1,GIT-NOTES.EXE,6,2
335,1,GIT-PACK-OBJECTS.EXE,6,2
336,1,GIT-PACK-REDUNDANT.EXE,6,2
337,1,GIT-PACK-REFS.EXE,6,2
338,1,GIT-PATCH-ID.EXE,6,2
339,1,GIT-PRUNE.EXE,6,2
340,1,GIT-PRUNE-PACKED.EXE,6,2
341,1,GIT-PULL.EXE,6,2
342,1,GIT-PUSH.EXE,6,2
343,1,GIT-RANGE-DIFF.EXE,6,2
344,1,GIT-READ-TREE.EXE,6,2
345,1,GIT-REBASE.EXE,6,2
346,1,GIT-RECEIVE-PACK.EXE,6,2
347,1,GIT-REFLOG.EXE,6,2
348,1,GIT-REMOTE.EXE,6,2
349,1,GIT-REMOTE-EXT.EXE,6,2
350,1,GIT-REMOTE-FD.EXE,6,2
351,1,GIT-REMOTE-FTP.EXE,6,2
352,1,GIT-REMOTE-FTPS.EXE,6,2
353,1,GIT-REMOTE-HTTP.EXE,6,2
354,1,GIT-REMOTE-HTTPS.EXE,6,2
355,1,GIT-REPACK.EXE,6,2
356,1,GIT-REPLACE.EXE,6,2
357,1,GIT-RERERE.EXE,6,2
358,1,GIT-RESET.EXE,6,2
359,1,GIT-RESTORE.EXE,6,2
360,1,GIT-REVERT.EXE,6,2
361,1,GIT-REV-LIST.EXE,6,2
362,1,GIT-REV-PARSE.EXE,6,2
363,1,GIT-RM.EXE,6,2
364,1,GIT-SEND-PACK.EXE,6,2
365,1,GIT-SH-I18N--ENVSUBST.EXE,6,2
366,1,GIT-SHORTLOG.EXE,6,2
367,1,GIT-SHOW.EXE,6,2
368,1,GIT-SHOW-BRANCH.EXE,6,2
369,1,GIT-SHOW-INDEX.EXE,6,2
370,1,GIT-SHOW-REF.EXE,6,2
371,1,GIT-SPARSE-CHECKOUT.EXE,6,2
372,1,GIT-STAGE.EXE,6,2
373,1,GIT-STASH.EXE,6,2
374,1,GIT-STATUS.EXE,6,2
375,1,GIT-STRIPSPACE.EXE,6,2
376,1,GIT-SUBMODULE--HELPER.EXE,6,2
377,1,GIT-SWITCH.EXE,6,2
378,1,GIT-SYMBOLIC-REF.EXE,6,2
379,1,GIT-TAG.EXE,6,2
380,1,GIT-UNPACK-FILE.EXE,6,2
381,1,GIT-UNPACK-OBJECTS.EXE,6,2
382,1,GIT-UPDATE-INDEX.EXE,6,2
383,1,GIT-UPDATE-REF.EXE,6,2
384,1,GIT-UPDATE-SERVER-INFO.EXE,6,2
385,1,GIT-UPLOAD-ARCHIVE.EXE,6,2
386,1,GIT-UPLOAD-PACK.EXE,6,2
387,1,GIT-VAR.EXE,6,2
388,1,GIT-VERIFY-COMMIT.EXE,6,2
389,1,GIT-VERIFY-PACK.EXE,6,2
390,1,GIT-VERIFY-TAG.EXE,6,2
391,1,GIT-VERSION.EXE,6,2
392,1,GIT-WHATCHANGED.EXE,6,2
393,1,GIT-WORKTREE.EXE,6,2
394,1,GIT-WRITE-TREE.EXE,6,2
395,1,HEADLESS-GIT.EXE,6,2
396,1,SCALAR.EXE,6,2
397,1,P11-KIT-REMOTE.EXE,6,2
398,1,P11-KIT-SERVER.EXE,6,2
399,1,COMPAT-BASH.EXE,6,2
400,1,EDIT-GIT-BASH.EXE,6,2
401,1,GIT-WRAPPER.EXE,6,2
402,0,[.EXE,5,2
403,0,ARCH.EXE,5,2
404,0,AWK.EXE,5,2
405,0,B2SUM.EXE,5,2
406,0,BASE32.EXE,5,2
407,0,BASE64.EXE,5,2
408,0,BASENAME.EXE,5,2
409,0,BASENC.EXE,5,2
410,0,BASH.EXE,5,2
411,0,BUNZIP2.EXE,5,2
412,0,BZCAT.EXE,5,2
413,0,BZIP2.EXE,5,2
414,0,BZIP2RECOVER.EXE,5,2
415,0,CAPTOINFO.EXE,5,2
416,0,CAT.EXE,5,2
417,0,CHATTR.EXE,5,2
418,0,CHCON.EXE,5,2
419,0,CHGRP.EXE,5,2
420,0,CHMOD.EXE,5,2
421,0,CHOWN.EXE,5,2
422,0,CHROOT.EXE,5,2
423,0,CKSUM.EXE,5,2
424,0,CLEAR.EXE,5,2
425,0,CMP.EXE,5,2
426,0,COLUMN.EXE,5,2
427,0,COMM.EXE,5,2
428,0,CP.EXE,5,2
429,0,CSPLIT.EXE,5,2
430,0,CUT.EXE,5,2
431,0,CYGCHECK.EXE,5,2
432,0,CYGPATH.EXE,5,2
433,0,CYGWIN-CONSOLE-HELPER.EXE,5,2
434,0,D2U.EXE,5,2
435,0,DASH.EXE,5,2
436,0,DATE.EXE,5,2
437,0,DD.EXE,5,2
438,0,DF.EXE,5,2
439,0,DIFF.EXE,5,2
440,0,DIFF3.EXE,5,2
441,0,DIR.EXE,5,2
442,0,DIRCOLORS.EXE,5,2
443,0,DIRMNGR.EXE,5,2
444,0,DIRMNGR-CLIENT.EXE,5,2
445,0,DIRNAME.EXE,5,2
446,0,DOS2UNIX.EXE,5,2
447,0,DU.EXE,5,2
448,0,DUMPSEXP.EXE,5,2
449,0,ECHO.EXE,5,2
450,0,ENV.EXE,5,2
451,0,ENVSUBST.EXE,5,2
452,0,EX.EXE,5,2
453,0,EXPAND.EXE,5,2
454,0,EXPR.EXE,5,2
455,0,FACTOR.EXE,5,2
456,0,FALSE.EXE,5,2
457,0,FILE.EXE,5,2
458,0,FIND.EXE,5,2
459,0,FMT.EXE,5,2
460,0,FOLD.EXE,5,2
461,0,FUNZIP.EXE,5,2
462,0,GAWK.EXE,5,2
463,0,GAWK-5.0.0.EXE,5,2
464,0,GENCAT.EXE,5,2
465,0,GETCONF.EXE,5,2
466,0,GETFACL.EXE,5,2
467,0,GETOPT.EXE,5,2
468,0,GETTEXT.EXE,5,2
469,0,GKILL.EXE,5,2
470,0,GMONDUMP.EXE,5,2
471,0,GPG.EXE,5,2
472,0,GPG-AGENT.EXE,5,2
473,0,GPGCONF.EXE,5,2
474,0,GPG-CONNECT-AGENT.EXE,5,2
475,0,GPG-ERROR.EXE,5,2
476,0,GPGPARSEMAIL.EXE,5,2
477,0,GPGSCM.EXE,5,2
478,0,GPGSM.EXE,5,2
479,0,GPGSPLIT.EXE,5,2
480,0,GPGTAR.EXE,5,2
481,0,GPGV.EXE,5,2
482,0,GPG-WKS-SERVER.EXE,5,2
483,0,GREP.EXE,5,2
484,0,GROUPS.EXE,5,2
485,0,GZIP.EXE,5,2
486,0,HEAD.EXE,5,2
487,0,HMAC256.EXE,5,2
488,0,HOSTID.EXE,5,2
489,0,HOSTNAME.EXE,5,2
490,0,ICONV.EXE,5,2
491,0,ID.EXE,5,2
492,0,INFOCMP.EXE,5,2
493,0,INFOTOCAP.EXE,5,2
494,0,INSTALL.EXE,5,2
495,0,JOIN.EXE,5,2
496,0,KBXUTIL.EXE,5,2
497,0,KILL.EXE,5,2
498,0,LDD.EXE,5,2
499,0,LDH.EXE,5,2
500,0,LESS.EXE,5,2
501,0,LESSECHO.EXE,5,2
502,0,LESSKEY.EXE,5,2
503,0,LINK.EXE,5,2
504,0,LN.EXE,5,2
505,0,LOCALE.EXE,5,2
506,0,LOCATE.EXE,5,2
507,0,LOGNAME.EXE,5,2
508,0,LS.EXE,5,2
509,0,LSATTR.EXE,5,2
510,0,MAC2UNIX.EXE,5,2
511,0,MD5SUM.EXE,5,2
512,0,MINIDUMPER.EXE,5,2
513,0,MINTTY.EXE,5,2
514,0,MKDIR.EXE,5,2
515,0,MKFIFO.EXE,5,2
516,0,MKGROUP.EXE,5,2
517,0,MKNOD.EXE,5,2
518,0,MKPASSWD.EXE,5,2
519,0,MKTEMP.EXE,5,2
520,0,MOUNT.EXE,5,2
521,0,MPICALC.EXE,5,2
522,0,MSGATTRIB.EXE,5,2
523,0,MSGCAT.EXE,5,2
524,0,MSGCMP.EXE,5,2
525,0,MSGCOMM.EXE,5,2
526,0,MSGCONV.EXE,5,2
527,0,MSGEN.EXE,5,2
528,0,MSGEXEC.EXE,5,2
529,0,MSGFILTER.EXE,5,2
530,0,MSGFMT.EXE,5,2
531,0,MSGGREP.EXE,5,2
532,0,MSGINIT.EXE,5,2
533,0,MSGMERGE.EXE,5,2
534,0,MSGUNFMT.EXE,5,2
535,0,MSGUNIQ.EXE,5,2
536,0,MV.EXE,5,2
537,0,NANO.EXE,5,2
538,0,NETTLE-HASH.EXE,5,2
539,0,NETTLE-LFIB-STREAM.EXE,5,2
540,0,NETTLE-PBKDF2.EXE,5,2
541,0,NGETTEXT.EXE,5,2
542,0,NICE.EXE,5,2
543,0,NL.EXE,5,2
544,0,NOHUP.EXE,5,2
545,0,NPROC.EXE,5,2
546,0,NUMFMT.EXE,5,2
547,0,OD.EXE,5,2
548,0,OPENSSL.EXE,5,2
549,0,P11-KIT.EXE,5,2
550,0,PASSWD.EXE,5,2
551,0,PASTE.EXE,5,2
552,0,PATCH.EXE,5,2
553,0,PATHCHK.EXE,5,2
554,0,PERL.EXE,5,2
555,0,PERL5.36.0.EXE,5,2
556,0,PINENTRY.EXE,5,2
557,0,PINENTRY-W32.EXE,5,2
558,0,PINKY.EXE,5,2
559,0,PKCS1-CONV.EXE,5,2
560,0,PLDD.EXE,5,2
561,0,PLUGINVIEWER.EXE,5,2
562,0,PR.EXE,5,2
563,0,PRINTENV.EXE,5,2
564,0,PRINTF.EXE,5,2
565,0,PROFILER.EXE,5,2
566,0,PS.EXE,5,2
567,0,PSL.EXE,5,2
568,0,PTX.EXE,5,2
569,0,PWD.EXE,5,2
570,0,READLINK.EXE,5,2
571,0,REALPATH.EXE,5,2
572,0,REBASE.EXE,5,2
573,0,RECODE-SR-LATIN.EXE,5,2
574,0,REGTOOL.EXE,5,2
575,0,RESET.EXE,5,2
576,0,RM.EXE,5,2
577,0,RMDIR.EXE,5,2
578,0,RNANO.EXE,5,2
579,0,RUNCON.EXE,5,2
580,0,RVIEW.EXE,5,2
581,0,RVIM.EXE,5,2
582,0,SCP.EXE,5,2
583,0,SDIFF.EXE,5,2
584,0,SED.EXE,5,2
585,0,SEQ.EXE,5,2
586,0,SETFACL.EXE,5,2
587,0,SETMETAMODE.EXE,5,2
588,0,SEXP-CONV.EXE,5,2
589,0,SFTP.EXE,5,2
590,0,SH.EXE,5,2
591,0,SHA1SUM.EXE,5,2
592,0,SHA224SUM.EXE,5,2
593,0,SHA256SUM.EXE,5,2
594,0,SHA384SUM.EXE,5,2
595,0,SHA512SUM.EXE,5,2
596,0,SHRED.EXE,5,2
597,0,SHUF.EXE,5,2
598,0,SLEEP.EXE,5,2
599,0,SORT.EXE,5,2
600,0,SPLIT.EXE,5,2
601,0,SSH.EXE,5,2
602,0,SSH-ADD.EXE,5,2
603,0,SSH-AGENT.EXE,5,2
604,0,SSHD.EXE,5,2
605,0,SSH-KEYGEN.EXE,5,2
606,0,SSH-KEYSCAN.EXE,5,2
607,0,SSH-PAGEANT.EXE,5,2
608,0,SSP.EXE,5,2
609,0,STAT.EXE,5,2
610,0,STDBUF.EXE,5,2
611,0,STRACE.EXE,5,2
612,0,STTY.EXE,5,2
613,0,SUM.EXE,5,2
614,0,SYNC.EXE,5,2
615,0,TABS.EXE,5,2
616,0,TAC.EXE,5,2
617,0,TAIL.EXE,5,2
618,0,TAR.EXE,5,2
619,0,TEE.EXE,5,2
620,0,TEST.EXE,5,2
621,0,TIC.EXE,5,2
622,0,TIG.EXE,5,2
623,0,TIMEOUT.EXE,5,2
624,0,TOE.EXE,5,2
625,0,TOUCH.EXE,5,2
626,0,TPUT.EXE,5,2
627,0,TR.EXE,5,2
628,0,TRUE.EXE,5,2
629,0,TRUNCATE.EXE,5,2
630,0,TRUST.EXE,5,2
631,0,TSET.EXE,5,2
632,0,TSORT.EXE,5,2
633,0,TTY.EXE,5,2
634,0,TZSET.EXE,5,2
635,0,U2D.EXE,5,2
636,0,UMOUNT.EXE,5,2
637,0,UNAME.EXE,5,2
638,0,UNEXPAND.EXE,5,2
639,0,UNIQ.EXE,5,2
640,0,UNIX2DOS.EXE,5,2
641,0,UNIX2MAC.EXE,5,2
642,0,UNLINK.EXE,5,2
643,0,UNZIP.EXE,5,2
644,0,UNZIPSFX.EXE,5,2
