FileId,FileName,DirectoryCount,FileCategory,WarningFlag
270,PYTHON.EXE,7,0,1
271,PYTHONW.EXE,7,0,1
272,SQLFORMAT.EXE,7,0,1
273,WHEEL.EXE,7,0,1
274,WHEEL3.10.EXE,7,0,1
275,WHEEL-3.10.EXE,7,0,1
276,WHEEL3.EXE,7,0,1
277,X360CE_X64.EXE,2,0,1
278,CSGO.EXE,3,0,0
279,REVLOADER.EXE,3,0,0
280,SRCDS.EXE,3,0,0
281,ELDEN RING ADVENTURE GUIDE.EXE,5,0,0
282,UNITYCRASHHANDLER64.EXE,5,0,0
283,ELDEN RING DIGITAL ARTBOOK & SOUNDTRACK.EXE,5,0,0
284,UNITYCRASHHANDLER64.EXE,5,0,0
285,ELDENRING.EXE,5,0,0
286,START_PROTECTED_GAME.EXE,5,0,0
287,EASYANTICHEAT_EOS_SETUP.EXE,6,0,1
288,ROMPAQ.EXE,4,0,0
289,HPEUSB.EXE,4,0,0
290,ROMPAQ.EXE,4,0,0
291,SQLSERVER2012SP4-KB4018073-X64-ENU.EXE,3,0,0
292,SQLSERVER2016SP2-KB4052908-X64-ENU.EXE,3,0,0
293,1438849943_PSCS6_13.0.1.1_PORT_X64.EXE,2,0,1
294,20070314092320078_SM940N.EXE,2,0,1
295,20744C-ENU-POWERPOINT.EXE,2,0,1
296,511.79-DESKTOP-WIN10-WIN11-64BIT-INTERNATIONAL-DCH-WHQL.EXE,2,0,1
297,7Z1604-X64.EXE,2,0,1
298,AIDA64.EXE,2,0,1
299,ANYDESK(1).EXE,2,0,1
300,ANYDESK(2).EXE,2,0,1
301,ANYDESK.EXE,2,0,1
302,ATOMSETUP-X64.EXE,2,0,1
303,AVAST_FREE_ANTIVIRUS_SETUP_ONLINE (1).EXE,2,0,1
304,AVAST-FREE-ANTIVIRUS_MSETUP_[102776501].EXE,2,0,1
305,AVIDEMUX_2.7.1_WIN32.EXE,2,0,1
306,CCSETUP544.EXE,2,0,1
307,CHROMESETUP.EXE,2,0,1
308,CPU-Z_2.01-EN.EXE,2,0,1
309,DOCKER DESKTOP INSTALLER.EXE,2,0,1
310,FIREFOX INSTALLER.EXE,2,0,1
311,FLASHPLAYER25PP_FA_INSTALL.EXE,2,0,1
312,FREE-BLU-RAY-PLAYER.EXE,2,0,1
313,FSVIEWERSETUP76.EXE,2,0,1
314,GITHUBDESKTOPSETUP-X64.EXE,2,0,1
315,GOOGLEEARTHPROSETUP.EXE,2,0,1
316,HAVDETECTIONTOOL.EXE,2,0,1
317,HDDLLF.4.40(1).EXE,2,0,1
318,HDDLLF.4.40.EXE,2,0,1
319,HDDWIPESETUP.2.35.1178.EXE,2,0,1
320,HOLA-BROWSER-C-HUN_BROWSER.EXE,2,0,1
321,HOLA-CHROME.EXE,2,0,1
322,HOLA-SETUP-1221-C-HP.EXE,2,0,1
323,IMGBURN.EXE,2,0,1
324,ISOTOUSB_SETUP.EXE,2,0,1
325,ITOPVPN_SETUP_FREE.EXE,2,0,1
326,KASPERSKY4WIN202121.16.6.467RU_45357.EXE,2,0,1
327,KIESSETUP.EXE,2,0,1
328,K-LITE_CODEC_PACK_1300_FULL.EXE,2,0,1
329,K-LITE_CODEC_PACK_1445_STANDARD.EXE,2,0,1
330,LSBSETUP.EXE,2,0,1
331,MEDIACREATIONTOOL_WIN11_23H2.EXE,2,0,1
332,MOVAVIVIDEOEDITORSETUPO.EXE,2,0,1
333,MTS-LINK-DESKTOP.EXE,2,0,1
334,NDP453-KB2969351-X86-X64-ALLOS-ENU.EXE,2,0,1
335,NPP.8.5.4.INSTALLER.X64.EXE,2,0,1
336,PDR-FREE-ONLINE.EXE,2,0,1
337,PSIPHON3(1).EXE,2,0,1
338,PSIPHON3.EXE,2,0,1
339,PYCHARM-COMMUNITY-2022.1.3(1).EXE,2,0,1
340,PYCHARM-COMMUNITY-2022.1.3.EXE,2,0,1
341,PYCHARM-COMMUNITY-2023.3.3.EXE,2,0,1
342,PYCHARM-PROFESSIONAL-2023.3.2.EXE,2,0,1
343,PYTHON-3.10.11-AMD64.EXE,2,0,1
344,PYTHON-3.10.5-AMD64.EXE,2,0,1
345,PYTHON-3.12.1-AMD64.EXE,2,0,1
346,REFLECTDLHF.EXE,2,0,1
347,RUFUS-3.21.EXE,2,0,1
348,SP99325.EXE,2,0,1
349,SUMATRAPDF-3.5.2-64-INSTALL.EXE,2,0,1
350,TEAMSSETUPX64_S_8D99CFAEA8A6F38-7-0_.EXE,2,0,1
351,TEAMVIEWER_SETUP_X64.EXE,2,0,1
352,TOUCHVPN_2.0.0.265.EXE,2,0,1
353,UISO9_PE.EXE,2,0,1
354,USBLOWLEVELFORMATSETUP.EXE,2,0,1
355,UTORRENT.EXE,2,0,1
356,UTWEB_INSTALLER.EXE,2,0,1
357,VIDEO-CONVERTER-ULTIMATE_SETUP_FULL495.EXE,2,0,1
358,VIRTUALBOX-7.0.12-159484-WIN.EXE,2,0,1
359,VISUALSTUDIOSETUP.EXE,2,0,1
360,VLC-3.0.16-WIN64.EXE,2,0,1
361,VMWARE-WORKSTATION-FULL-16.2.4-20089737.EXE,2,0,1
362,WINDOWS7-USB-DVD-DOWNLOAD-TOOL-INSTALLER-EN-US.EXE,2,0,1
363,WINDOWS-ISO-DOWNLOADER.EXE,2,0,1
364,WING-PERSONAL-10.0.1.0.EXE,2,0,1
365,WING-PERSONAL-9.1.1.1(1).EXE,2,0,1
366,WING-PERSONAL-9.1.1.1.EXE,2,0,1
